Agency Name,Agency Size,percentage_2024,percentage_2023,percentage_2022,percentage_2021,percentage_2020
Governmentwide,,69,67,65,67,71
Very Large Agencies Overall,,69,,,,
Department of Agriculture,Very Large,70,68,65,64,67
"Department of Defense, Overall",Very Large,69,67,65,67,71
United States Department of the Air Force,Very Large,68,68,66,67,71
United States Department of the Army,Very Large,71,69,64,65,70
United States Department of the Navy,Very Large,70,67,64,66,72
"OSD, Joint Staff, Defense Agencies, and Field Activities (DOD 4th Estate)",Very Large,64,65,67,70,72
Department of Health and Human Services,Very Large,79,77,76,77,77
Department of Homeland Security,Very Large,66,62,55,57,62
Department of Justice,Very Large,62,59,56,61,69
Department of the Treasury,Very Large,72,71,69,72,74
Large Agencies Overall,,70,,,,
Department of Commerce,Large,75,75,73,77,78
Department of Energy,Large,80,79,75,74,77
Department of Labor,Large,72,73,69,71,69
Department of State,Large,66,64,64,67,70
Department of the Interior,Large,72,71,67,68,69
Department of Transportation,Large,73,75,71,72,79
Environmental Protection Agency,Large,83,81,77,79,71
General Services Administration,Large,88,87,83,85,86
Social Security Administration,Large,54,52,54,61,65
Medium Agencies Overall,,72,,,,
Court Services and Offender Supervision Agency,Medium,53,54,55,55,61
Department of Education,Medium,64,68,67,67,54
Department of Housing and Urban Development,Medium,70,72,68,72,69
Equal Employment Opportunity Commission,Medium,73,74,70,76,73
Federal Communications Commission,Medium,79,75,74,77,79
Federal Energy Regulatory Commission,Medium,88,86,84,88,90
Federal Trade Commission,Medium,81,78,72,69,91
National Archives and Records Administration,Medium,66,67,64,68,67
National Credit Union Administration,Medium,84,81,75,79,83
National Labor Relations Board,Medium,58,66,60,62,53
National Science Foundation,Medium,72,80,85,89,87
Nuclear Regulatory Commission,Medium,69,66,67,72,77
Office of Personnel Management,Medium,79,77,71,74,70
Small Business Administration,Medium,79,78,76,69,68
U.S. Agency for Global Media,Medium,62,64,58,58,48
U.S. Agency for International Development,Medium,66,66,68,73,74
Small Agencies Overall,,74,,,,
Commodity Futures Trading Commission,Small,74,67,66,70,68
Consumer Product Safety Commission,Small,79,74,65,67,72
Corporation for National and Community Service,Small,81,74,67,66,55
Defense Nuclear Facilities Safety Board,Small,69,78,68,70,62
Export-Import Bank of the United States,Small,36,37,52,75,66
Farm Credit Administration,Small,85,88,84,86,89
Federal Election Commission,Small,48,55,59,53,62
Federal Housing Finance Agency,Small,62,63,71,75,82
Federal Labor Relations Authority,Small,84,84,82,79,65
Federal Maritime Commission,Small,47,65,72,76,82
Federal Mediation and Conciliation Service,Small,68,62,64,69,83
Federal Retirement Thrift Investment Board,Small,74,68,68,65,70
International Boundary and Water Commission,Small,65,63,58,56,50
Merit Systems Protection Board,Small,57,58,70,76,72
National Endowment for the Arts,Small,70,71,72,76,83
National Endowment for the Humanities,Small,93,91,83,89,71
National Gallery of Art,Small,64,64,60,63,65
National Indian Gaming Commission,Small,92,95,87,80,78
National Transportation Safety Board,Small,73,72,74,82,84
Office of Management and Budget,Small,83,80,72,73,62
Office of the U.S. Trade Representative,Small,54,66,60,66,72
Peace Corps,Small,76,77,77,--,--
Pension Benefit Guaranty Corporation,Small,91,90,88,87,88
Railroad Retirement Board,Small,79,75,68,69,69
Selective Service System,Small,68,82,67,77,80
Surface Transportation Board,Small,80,70,79,79,77
U.S. International Development Finance Corporation,Small,70,67,77,78,67
U.S. International Trade Commission,Small,82,80,80,83,89
U.S. Office of Special Counsel,Small,83,88,89,87,87
Very Small Agencies Overall,,71,,,,
AbilityOne Commission,Very Small,66,59,49,N<10,63
Advisory Council on Historic Preservation,Very Small,67,83,88,--,--
African Development Foundation,Very Small,67,68,--,--,44
American Battle Monuments Commission,Very Small,68,62,55,66,79
Commission on Civil Rights,Very Small,38,63,61,N<10,50
Farm Credit System Insurance Corporation,Very Small,N<10,N<10,N<10,N<10,N<10
Federal Permitting Improvement Steering Council,Very Small,N<10,89,--,--,--
Institute of Museum and Library Services,Very Small,86,72,85,84,75
Inter-American Foundation,Very Small,29,58,68,79,76
John F. Kennedy Center for the Performing Arts,Very Small,51,35,40,N<10,44
Marine Mammal Commission,Very Small,100,100,91,93,100
National Capital Planning Commission,Very Small,92,86,96,92,93
National Council on Disability,Very Small,N<10,N<10,N<10,--,--
National Mediation Board,Very Small,48,58,N<10,80,78
Occupational Safety and Health Review Commission,Very Small,91,88,87,95,95
Office of Navajo and Hopi Indian Relocation,Very Small,N<10,N<10,N<10,N<10,N<10
Postal Regulatory Commission,Very Small,84,94,87,94,89
Privacy and Civil Liberties Oversight Board,Very Small,74,27,--,--,--
U.S. Access Board,Very Small,49,60,N<10,100,93
U.S. Chemical Safety and Hazard Investigation Board,Very Small,65,49,17,--,35
U.S. Office of Government Ethics,Very Small,88,91,82,88,88
U.S. Trade and Development Agency,Very Small,84,87,77,--,79
